"gene","entrez","tpm","ModelID","PatientID","CellLineName","StrippedCellLineName","DepmapModelType","OncotreeLineage","OncotreePrimaryDisease","OncotreeSubtype","OncotreeCode","LegacyMolecularSubtype","PatientMolecularSubtype","RRID","Age","AgeCategory","Sex","PatientRace","PrimaryOrMetastasis","SampleCollectionSite","SourceType","SourceDetail","TreatmentStatus","TreatmentDetails","GrowthPattern","OnboardedMedia","FormulationID","EngineeredModel","TissueOrigin","CCLEName","CatalogNumber","PlateCoating","ModelDerivationMaterial","PublicComments","WTSIMasterCellID","SangerModelID","COSMICID","LegacySubSubtype"
"OTC","5009",0,"ACH-001794","PT-jDDO2a","93T449","93T449","WDLS","Soft Tissue","Liposarcoma","Well-Differentiated Liposarcoma","WDLS","",NA,"CVCL_U614",68,"Adult","Female","caucasian","Primary","soft_tissue","Academic lab","Pedeutour (Laboratory of Solid Tumors Genetics); also available at ATCC","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"93T449_SOFT_TISSUE","CRL-3043","None","","",NA,"",NA,"WDLPS"
"OTC","5009",0,"ACH-002023","PT-hlvUsv","TGBC18TKB","TGBC18TKB","AMPCA","Ampulla of Vater","Ampullary Carcinoma","Ampullary Carcinoma","AMPCA","",NA,"CVCL_3338",79,"Adult","Female","","Primary","large_intestine","RIKEN","RIKEN","",NA,"Adherent","MF-002-008","DMEM + 5% FBS","",NA,"TGBC18TKB_LARGE_INTESTINE","RCB1169","None","","",NA,"",NA,"papillotubular"
"OTC","5009",0,"ACH-000528","PT-id2eBb","ABC-1","ABC1","LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","",NA,"CVCL_1066",47,"Adult","Male","","Metastatic","pleural_effusion","HSRRB","HSRRB","",NA,"Adherent","MF-006-001","MEM + 10% FBS","",NA,"ABC1_LUNG","JCRB0815","None","","",1557,"SIDM00494",906791,"NSCLC_adenocarcinoma"
"OTC","5009",0.0285691521967709,"ACH-001655","PT-yc0xLp","SKN","SKN","ULMS","Uterus","Uterine Sarcoma/Mesenchymal","Uterine Leiomyosarcoma","ULMS","",NA,"CVCL_3167",52,"Adult","Female","","Primary","endometrium","JCRB","JCRB","",NA,"Adherent","MF-004-001","F12 + 10% FBS","",NA,"SKN_ENDOMETRIUM","JCRB0173","None","","",791,"SIDM00377",1240215,""
"OTC","5009",0.070389327891398,"ACH-000167","PT-ghtKEp","KE-97","KE97","PCM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM","",NA,"CVCL_3386",52,"Adult","Male","","Metastatic","abdomen","RIKEN","RIKEN","",NA,"Mixed","MF-001-001","RPMI + 10% FBS","",NA,"KE97_STOMACH","RCB1435","None","","",NA,"",NA,""
"OTC","5009",0,"ACH-000792","PT-FrUuvH","BFTC-909","BFTC909","RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC","",NA,"CVCL_1084",64,"Adult","Male","asian","Primary","kidney","DSMZ","DSMZ","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"BFTC909_KIDNEY","ACC 367","None","","",1284,"SIDM00988",910698,"transitional_cell"
"OTC","5009",0,"ACH-001098","PT-htpobI","KCI-MOH1","KCIMOH1","PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","",NA,"CVCL_2090",64,"Adult","Female","caucasian","Primary","pancreas","DSMZ","DSMZ","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"KCIMOH1_PANCREAS","","None","","SNP fingerprinting confirms that this line is a HPAC derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.",NA,"",NA,"exocrine_adenocarcinoma"
"OTC","5009",0,"ACH-000570","PT-mxsdQX","YKG1","YKG1","GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","",NA,"CVCL_1796",53,"Adult","Female","","Primary","central_nervous_system","HSRRB","HSRRB","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"YKG1_CENTRAL_NERVOUS_SYSTEM","JCRB0746","None","","",61,"SIDM00315",687592,"glioblastoma"
"OTC","5009",0,"ACH-000351","PT-jfdGU1","MKN1","MKN1","STAS","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Adenosquamous Carcinoma of the Stomach","STAS","",NA,"CVCL_1415",72,"Adult","Male","asian","Metastatic","lymph_node","HSRRB","HSRRB","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"MKN1_STOMACH","JCRB0252","None","","",1647,"SIDM00271",908138,""
"OTC","5009",0,"ACH-002040","PT-YbtlK5","HMV-II","HMVII","VMM","Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","VMM","",NA,"CVCL_1282",65,"Adult","Female","","Primary","skin","RIKEN","RIKEN","",NA,"Adherent","MF-004-001","F12 + 10% FBS","",NA,"HMVII_SKIN","","None","","",NA,"SIDM00291",NA,""
"OTC","5009",0,"ACH-000769","PT-U2PG43","LK-2","LK2","LUSC","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC","",NA,"CVCL_1377",74,"Adult","Male","","Primary","lung","RIKEN","RIKEN","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"LK2_LUNG","RCB1970","None","","",45,"SIDM00548",687787,"NSCLC_squamous"
"OTC","5009",0,"ACH-000154","PT-AJl2G5","Hs 888.T","HS888T","ZFIBBON","Fibroblast","Non-Cancerous","Fibroblast, Bone","","",NA,"CVCL_0979",20,"Adult","Male","caucasian","","","ATCC","ATCC","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"HS888T_FIBROBLAST","CRL-7622","None","","Originally thought to be a osteosarcoma cell line but using a variety of omics methods was shown to be a a fibroblastic cell line.",NA,"SIDM01746",NA,""
"OTC","5009",0,"ACH-000828","PT-mV0nNw","ZR-75-30","ZR7530","ILC","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ILC","HER2_amp",NA,"CVCL_1661",47,"Adult","Female","black_or_african_american","Metastatic","ascites","ATCC","ATCC","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"ZR7530_BREAST","","None","","",429,"SIDM00971",909907,"ERpos_HER2pos"
"OTC","5009",0,"ACH-000421","PT-M67oxD","SW837","SW837","READ","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","READ","",NA,"CVCL_1729",53,"Adult","Male","caucasian","Primary","large_intestine","ATCC","ATCC","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"SW837_LARGE_INTESTINE","CCL-235","None","","",1141,"SIDM00833",909755,""
"OTC","5009",0,"ACH-000765","PT-mH5ckQ","WM983B","WM983B","MEL","Skin","Melanoma","Melanoma","MEL","",NA,"CVCL_6809",54,"Adult","Male","","Metastatic","lymph_node","Academic lab","Received from CCLE; originally academic lab","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"WM983B_SKIN","","None","","",NA,"",NA,""
"OTC","5009",0,"ACH-001375","PT-F5I5LU","PACADD-119","PACADD119","PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","",NA,"CVCL_1848",59,"Adult","Male","","Primary","pancreas","DSMZ","DSMZ","",NA,"Adherent","MF-008-001","DMEM:KSFM (2:1) + 20% FBS","",NA,"PACADD119_PANCREAS","ACC 709","None","","",NA,"",NA,"exocrine_adenocarcinoma"
"OTC","5009",0,"ACH-000008","PT-fp8PeY","A101D","A101D","MEL","Skin","Melanoma","Melanoma","MEL","",NA,"CVCL_1057",56,"Adult","Male","caucasian","Primary","skin","ATCC","ATCC","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"A101D_SKIN","CRL-7898","None","","",1806,"SIDM00801",910921,""
"OTC","5009",0.0285691521967709,"ACH-001814","PT-2XpRTn","OS252","OS252","OS","Bone","Osteosarcoma","Osteosarcoma","OS","",NA,"CVCL_WU66",NA,"Pediatric","Male","","Primary","bone","Academic lab","Richard Gorlick (Montefiore Medical Center)","",NA,"Adherent","MF-015-008","EMEM + 20% FBS + 1mM Sodium pyruvate + 100uM NEAA","",NA,"OS252_BONE","","None","","",NA,"",NA,""
"OTC","5009",0,"ACH-000800","PT-RmrNlb","NCI-H446","NCIH446","SCLC","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC","",NA,"CVCL_1562",61,"Adult","Male","caucasian","Metastatic","pleural_effusion","ATCC","ATCC","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"NCIH446_LUNG","HTB-171","None","","",1222,"SIDM00965",688023,""
"OTC","5009",0,"ACH-000606","PT-qno39F","PE/CA-PJ34 (clone C12)","PECAPJ34CLONEC12","OCSC","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC","",NA,"CVCL_2679",60,"Adult","Male","","Primary","upper_aerodigestive_tract","ECACC","ECACC","",NA,"Adherent","MF-005-002","IMDM + 10% FBS + 2mM Glutamine","",NA,"PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT","","None","","",NA,"",NA,"basaloid"
"OTC","5009",0.0285691521967709,"ACH-000317","PT-ARX9yV","TUHR14TKB","TUHR14TKB","RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC","",NA,"CVCL_5953",NA,"Unknown","Male","","Primary","kidney","RIKEN","RIKEN","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"TUHR14TKB_KIDNEY","RCB1383","None","","",NA,"",NA,""
"OTC","5009",0,"ACH-000123","PT-hlFfQW","COV434","COV434","SCCO","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Small Cell Carcinoma of the Ovary","SCCO","",NA,"CVCL_2010",26,"Adult","Female","","Primary","ovary","ECACC","ECACC","",NA,"Adherent","MF-002-003","DMEM + 10% FBS + 2mM Glutamine","",NA,"COV434_OVARY","7071909","None","","",NA,"",NA,"Epithelial-Endometroid"
"OTC","5009",0,"ACH-000723","PT-eFL4J2","YD-10B","YD10B","OCSC","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC","",NA,"CVCL_8929",67,"Adult","Male","asian","","upper_aerodigestive_tract","KCLB","KCLB","",NA,"Adherent","","","",NA,"YD10B_UPPER_AERODIGESTIVE_TRACT","60503","None","","",NA,"",NA,"tongue"
"OTC","5009",0,"ACH-002066","PT-coZfvw","HS-Sch-2","HSSCH2","MPNST","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","MPNST","",NA,"CVCL_8718",54,"Adult","Female","","Primary","central_nervous_system","RIKEN","RIKEN","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"HSSCH2_CENTRAL_NERVOUS_SYSTEM","RCB2230","None","","",NA,"",NA,""
"OTC","5009",0,"ACH-001536","PT-BemhJ7","KKU-100","KKU100","EHCH","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Extrahepatic Cholangiocarcinoma","EHCH","",NA,"CVCL_3996",65,"Adult","Female","","Primary","liver","JCRB","JCRB","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"KKU100_BILIARY_TRACT","JCRB1568","None","","",NA,"",NA,"extrahepatic"
"OTC","5009",0,"ACH-003136","PT-aKVmiL","ABM-T0023","ABMT0023","ZIMMCONH","","Non-Cancerous","Immortalized Human Chondrocytes – hTERT","","",NA,"",NA,"Unknown","","","","","ABM","ABM","",NA,"Adherent","MF-043-001","PriGrow I (TM001) + 25 μg/ml BPE + 0.15 ng/ml hEGF + 30 ng/ml cholera toxin (Sigma) + 5 μg/ml gentamycin","",NA,"","","None","","",NA,"",NA,""
"OTC","5009",0,"ACH-000313","PT-Hd1kAu","KMRC-3","KMRC3","CCRCC","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","CCRCC","",NA,"CVCL_2985",NA,"Adult","Male","asian","Primary","kidney","HSRRB","HSRRB","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"KMRC3_KIDNEY","JCRB1012","None","","",NA,"",NA,"clear_cell"
"OTC","5009",0,"ACH-002019","PT-AOzYCt","HOKUG","HOKUG","CEGCC","Cervix","Glassy Cell Carcinoma of the Cervix","Glassy Cell Carcinoma of the Cervix","CEGCC","",NA,"CVCL_8705",53,"Adult","Female","","Primary","cervix","RIKEN","RIKEN","",NA,"Adherent","MF-004-002","F12 + 15% FBS","",NA,"HOKUG_CERVIX","RCB0657","None","","",NA,"",NA,""
"OTC","5009",0,"ACH-000728","PT-pKQIGg","KASUMI-2","KASUMI2","BLL","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","BLL","",NA,"CVCL_0590",15,"Pediatric","Male","","","bone_marrow","DSMZ","DSMZ","",NA,"Adherent","","","",NA,"KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACC 526","None","","",NA,"",NA,"b_cell"
"OTC","5009",0,"ACH-000700","PT-o9axOH","NCI-H2882","NCIH2882","LUSC","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC","",NA,"CVCL_5158",61,"Adult","Female","","Primary","lung","Academic lab","Meyerson (Broad) who received from Minna","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"NCIH2882_LUNG","","None","","",NA,"",NA,"NSCLC_squamous"
"OTC","5009",0,"ACH-000823","PT-O7zBRO","KYSE-140","KYSE140","ESCC","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ESCC","",NA,"CVCL_1347",54,"Adult","Male","asian","Primary","oesophagus","DSMZ","DSMZ","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"KYSE140_OESOPHAGUS","ACC 348","None","","",951,"SIDM01032",753573,""
"OTC","5009",0,"ACH-000678","PT-YUTQOS","MKN7","MKN7","TSTAD","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","TSTAD","",NA,"CVCL_1417",39,"Adult","Male","asian","Metastatic","lymph_node","RIKEN","RIKEN","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"MKN7_STOMACH","RCB0999","None","","",2113,"SIDM00560",924250,"tubular"
"OTC","5009",0,"ACH-000006","PT-ej13Dz","MONO-MAC-6","MONOMAC6","AMOL","Myeloid","Acute Myeloid Leukemia","Acute Monoblastic/Monocytic Leukemia","AMOL","",NA,"CVCL_1426",64,"Adult","Male","","Primary","haematopoietic_and_lymphoid_tissue","DSMZ","DSMZ","",NA,"Suspension","MF-001-001","RPMI + 10% FBS","",NA,"MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACC 124","None","","",2167,"SIDM01023",908148,"M5"
"OTC","5009",0,"ACH-002029","PT-rJXazG","SAS","SAS","OCSC","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC","",NA,"CVCL_1675",69,"Adult","Female","","Primary","upper_aerodigestive_tract","RIKEN","RIKEN","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"SAS_UPPER_AERODIGESTIVE_TRACT","RCB1974","None","","",NA,"SIDM00351",NA,"tongue"
"OTC","5009",5.05484847699562,"ACH-001377","PT-gL0WpK","PACADD-137","PACADD137","PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","",NA,"CVCL_1850",75,"Adult","Female","","Primary","pancreas","DSMZ","DSMZ","",NA,"Adherent","MF-008-001","DMEM:KSFM (2:1) + 20% FBS","",NA,"PACADD137_PANCREAS","ACC 711","None","","",NA,"",NA,"exocrine_adenocarcinoma"
"OTC","5009",0.070389327891398,"ACH-000754","PT-Pi0OS5","L-428","L428","HL","Lymphoid","Hodgkin Lymphoma","Hodgkin Lymphoma","HL","",NA,"CVCL_1361",37,"Adult","Female","","","pleural_effusion","DSMZ","DSMZ","",NA,"Suspension","MF-001-001","RPMI + 10% FBS","",NA,"L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","","None","","",1804,"SIDM00327",907322,""
"OTC","5009",0,"ACH-000465","PT-spChit","SK-MEL-1","SKMEL1","MEL","Skin","Melanoma","Melanoma","MEL","",NA,"CVCL_0068",29,"Adult","Male","caucasian","Metastatic","haematopoietic_and_lymphoid_tissue","ATCC","ATCC","",NA,"Suspension","MF-015-001","EMEM + 10% FBS","",NA,"SKMEL1_SKIN","","None","","",42,"SIDM01107",909723,""
"OTC","5009",0,"ACH-000138","PT-1nbcaA","CFPAC-1","CFPAC1","PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","",NA,"CVCL_1119",26,"Adult","Male","caucasian","Metastatic","liver","ATCC","ATCC","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"CFPAC1_PANCREAS","CRL-1918","None","","",572,"SIDM00130",906821,"exocrine_adenocarcinoma"
"OTC","5009",0,"ACH-001864","PT-mhrkCC","YSCCC","YSCCC","IHCH","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","IHCH","",NA,"CVCL_3629",70,"Adult","Female","","Metastatic","ascites","Academic lab","Bardeesy (MGH)","Unknown",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"YSCCC_BILIARY_TRACT","RCB1549","None","","",NA,"",NA,"intrahepatic"
"OTC","5009",0,"ACH-000383","PT-MSH6ZN","OE33","OE33","ESCA","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ESCA","",NA,"CVCL_0471",73,"Adult","Female","caucasian","Primary","oesophagus","HPACC","HPACC","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"OE33_OESOPHAGUS","OE33","None","","",1554,"SIDM00477",910549,""
"OTC","5009",0,"ACH-001547","PT-xjKkQm","LO68","LO68","PLEMESO","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO","",NA,"CVCL_2581",57,"Adult","Male","black_or_african_american","Primary","pleural_effusion","Sigma-Aldrich","Sigma-Aldrich","",NA,"Adherent","MF-001-016","RPMI + 5% FBS + 2mM Glutamine + 25mM HEPES","",NA,"LO68_LUNG","CBA-0141","None","","",NA,"",NA,""
"OTC","5009",0,"ACH-000917","PT-2HckVI","TE-4","TE4","ESCC","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ESCC","",NA,"CVCL_3337",48,"Adult","Male","","","lymph_node","RIKEN","RIKEN","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"TE4_OESOPHAGUS","RCB2097","None","","Cell line thought to be female but has Y chromosome expression.",382,"SIDM00250",1503371,""
"OTC","5009",0.0285691521967709,"ACH-002471","PT-UbzBsY","OS052","OS052","OS","Bone","Osteosarcoma","Osteosarcoma","OS","",NA,"CVCL_C8FR",17,"Pediatric","Female","","Primary","bone","Academic lab","Sweet Cordero (UCSF)","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"PSS008_BONE","","None","","",NA,"",NA,""
"OTC","5009",0,"ACH-000984","PT-UZ2uk5","HEC-6","HEC6","UASC","Uterus","Endometrial Carcinoma","Uterine Adenosquamous Carcinoma","UASC","",NA,"CVCL_2931",48,"Adult","Female","asian","Primary","endometrium","HSRRB","HSRRB","",NA,"Adherent","MF-015-007","EMEM + 15% FBS","",NA,"HEC6_ENDOMETRIUM","JCRB1118","None","","",NA,"",NA,""
"OTC","5009",0,"ACH-001409","PT-8JQP9N","UM-UC-16","UMUC16","BLCA","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA","",NA,"CVCL_2748",NA,"Unknown","Unknown","","Primary","urinary_tract","Sigma-Aldrich","Sigma-Aldrich","",NA,"Adherent","MF-015-002","EMEM + 10% FBS + 2mM Glutamine + 100uM NEAA","",NA,"UMUC16_URINARY_TRACT","","None","","",NA,"",NA,"bladder_transitional_cell"
"OTC","5009",0,"ACH-001707","PT-XqTlID","WA-OSEL","WAOSEL","CLLSLL","Lymphoid","Mature B-Cell Neoplasms","Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma","CLLSLL","",NA,"CVCL_Y549",NA,"Unknown","Male","","Primary","haematopoietic_and_lymphoid_tissue","DSMZ","DSMZ","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"WAOSEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACC 767","None","","",NA,"",NA,"b_cell"
"OTC","5009",0,"ACH-000117","PT-qkpbqp","EFM-192A","EFM192A","BRCA","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA","HER2_amp",NA,"CVCL_1812",46,"Adult","Female","caucasian","Metastatic","pleural_effusion","DSMZ","DSMZ","",NA,"Adherent","MF-001-018","RPMI + 15% FBS + 2mM Glutamine","",NA,"EFM192A_BREAST","ACC 258","None","","",1187,"SIDM01002",1290798,"ERpos_HER2pos"
"OTC","5009",1.25096157353322,"ACH-000999","PT-hR5WVg","SNU-1040","SNU1040","COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","MSI",NA,"CVCL_5003",34,"Adult","Male","asian","Primary","Colon","KCLB","KCLB","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"SNU1040_LARGE_INTESTINE","","None","","",2191,"SIDM00217",1659823,""
"OTC","5009",1.24488705912353,"ACH-000633","PT-zUYVjw","FU97","FU97","DSTAD","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Diffuse Type Stomach Adenocarcinoma","DSTAD","",NA,"CVCL_2908",66,"Adult","Female","asian","Primary","stomach","HSRRB","HSRRB","",NA,"Adherent","MF-002-010","DMEM + 10% FBS + 1ug/ml Insulin","",NA,"FU97_STOMACH","","None","","",2062,"SIDM00503",1290806,"diffuse_gastric"
"OTC","5009",0,"ACH-000520","PT-tv8Ku2","59M","59M","HGSOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC","",NA,"CVCL_2291",65,"Adult","Female","","Metastatic","ascites","ECACC","ECACC","",NA,"Adherent","","","",NA,"59M_OVARY","","None","","",NA,"",NA,"high_grade_serous"
